Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
OUST,"Ouster, Inc.",46.68,stage2,9,84,84.9,32.22,25.21,26.3,49.39,16.40,-5.5,,"Textbook Stage 2 (9/10) | Missing: 150MA > 200MA",""
TCBI,"Texas Capital Bancshares, Inc.",101.96,stage2,9,34,33.8,100.39,97.19,94.04,108.92,73.61,-6.4,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (34)",""
SIMO,"Silicon Motion Technology Corpo",285.69,stage2,10,94,300.9,226.02,148.62,134.67,314.34,67.38,-9.1,,"Textbook Stage 2 (10/10)",""
FROG,"JFrog Ltd.",79.00,stage2,10,82,91.1,63.44,56.88,55.35,89.16,34.05,-11.4,,"Textbook Stage 2 (10/10)",""
MLI,"Mueller Industries, Inc.",140.90,stage2,9,47,87.9,132.25,122.29,117.19,141.51,72.16,-0.4,NEAR HIGH,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (47)",""
DY,"Dycom Industries, Inc.",475.38,stage2,9,58,100.4,435.89,387.82,361.75,566.47,229.97,-16.1,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (58)",""
URGN,"UroGen Pharma Ltd.",30.12,stage2,10,79,102.9,26.3,22.91,22,32.37,12.61,-7.0,,"Textbook Stage 2 (10/10)",""
MPWR,"Monolithic Power Systems, Inc.",1650.74,stage2,9,69,130.0,1540.3,1205.91,1140.04,1714.09,671.18,-3.7,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (69)",""
STRL,"Sterling Infrastructure, Inc.",880.52,stage2,10,92,294.1,696.87,477.17,446.15,1005.68,205.83,-12.4,,"Textbook Stage 2 (10/10)",""
WST,"West Pharmaceutical Services, I",327.04,stage2,9,46,52.4,304.85,272.74,271.73,336.82,206.80,-2.9,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (46)",""
CLS,"Celestica, Inc.",393.74,stage2,10,84,190.7,382.81,323.27,311.61,474.03,127.20,-16.9,,"Textbook Stage 2 (10/10)",""
JAZZ,"Jazz Pharmaceuticals plc",230.12,stage2,9,57,114.5,219.69,188.89,175.19,243.32,105.00,-5.4,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (57)",""
